,train_image_id_count,question_count,answer_count
0,23004,what is the color of the horses,brown
1,220218,what is the color of the character,purple
2,491525,what is the color of the dog,black
3,256565,what is the color of the sign,red
4,351203,what is the color of the leash,orange
5,552966,what is the color of the bench,brown
6,273443,what is the color of the dog,black
7,275658,what is the color of the carriage,red
8,127122,what is the color of the bus,yellow
9,475523,what is the color of the refrigerator,white
10,75065,what is the color of the cow,black
11,274537,what is the color of the cat,gray
12,334283,what is the color of the tennis,black
13,133937,what is the color of the hair,red
14,559267,what is the color of the umbrella,blue
15,439445,what is the color of the counter,brown
16,69081,what is the color of the helmet,red
17,375080,what is the color of the jacket,gray
18,242039,what is the color of the airplane,white
19,299811,what is the color of the towel,blue
20,447524,what is the color of the train,red
21,95390,what is the color of the bridge,white
22,124764,what is the color of the train,white
23,458374,what is the color of the sky,blue
24,95592,what is the color of the car,green
25,274116,what is the color of the raincoat,red
26,168178,what is the color of the plane,gray
27,449889,what is the color of the motorcycle,red
28,5500,what is the color of the sky,gray
29,378049,what is the color of the frisbee,yellow
30,402844,what is the color of the bat,orange
31,94499,what is the color of the cat,gray
32,222122,what is the color of the bear,brown
33,128670,what is the color of the vase,brown
34,254714,what is the color of the fire,red
35,70251,what is the color of the flowers,purple
36,258792,what is the color of the waiting,white
37,128405,what is the color of the cat,brown
38,178421,what is the color of the suit,blue
39,219327,what is the color of the sky,red
40,564483,what is the color of the frisbee,yellow
41,93667,what is the color of the sky,blue
42,514567,what is the color of the shirt,blue
43,110634,what is the color of the light,red
44,314398,what is the color of the uniform,red
45,225663,what is the color of the leaves,green
46,432460,what is the color of the wall,white
47,505627,what is the color of the shirt,white
48,166503,what is the color of the bus,yellow
49,199469,what is the color of the hair,white
50,350361,what is the color of the lake,blue
51,283426,what is the color of the korean,blue
52,517931,what is the color of the bench,blue
53,305661,what is the color of the horse,brown
54,310878,what is the color of the umbrella,purple
55,158831,what is the color of the plate,brown
56,19151,what is the color of the bird,green
57,152746,what is the color of the man,black
58,267256,what is the color of the hillside,green
59,541067,what is the color of the carpet,brown
60,83190,what is the color of the truck,green
61,346576,what is the color of the kite,yellow
62,176435,what is the color of the cow,brown
63,150462,what is the color of the jacket,red
64,523749,what is the color of the cat,orange
65,500677,what is the color of the liner,brown
66,224592,what is the color of the sky,gray
67,442060,what is the color of the flower,red
68,502364,what is the color of the toilet,white
69,173760,what is the color of the cows,brown
70,184589,what is the color of the laptop,orange
71,146620,what is the color of the couch,yellow
72,100668,what is the color of the suit,brown
73,436990,what is the color of the pedestal,white
74,41818,what is the color of the juice,orange
75,274184,what is the color of the bear,brown
76,402219,what is the color of the suitcase,red
77,98210,what is the color of the bus,red
78,411792,what is the color of the light,green
79,398177,what is the color of the fire,black
80,43206,what is the color of the frisbee,white
81,24032,what is the color of the suit,orange
82,438060,what is the color of the linens,white
83,204458,what is the color of the bear,white
84,278776,what is the color of the cat,gray
85,15016,what is the color of the bird,white
86,426077,what is the color of the sheets,white
87,579224,what is the color of the wall,red
88,103539,what is the color of the disc,green
89,61966,what is the color of the dress,black
90,361030,what is the color of the pants,yellow
91,236580,what is the color of the grass,green
92,520750,what is the color of the bicycle,blue
93,130188,what is the color of the field,green
94,276218,what is the color of the bears,orange
95,532155,what is the color of the sky,blue
96,81855,what is the color of the plane,white
97,26733,what is the color of the kitten,black
98,292973,what is the color of the sky,blue
99,154770,what is the color of the grass,green
100,524679,what is the color of the bus,purple
101,218649,what is the color of the cones,orange
102,193629,what is the color of the canoes,blue
103,168480,what is the color of the polka,brown
104,270558,what is the color of the bear,black
105,536109,what is the color of the train,orange
106,291355,what is the color of the chair,brown
107,72222,what is the color of the flowers,red
108,548953,what is the color of the towell,blue
109,529188,what is the color of the cat,black
110,319256,what is the color of the person,purple
111,159567,what is the color of the bus,purple
112,55753,what is the color of the sign,red
113,159411,what is the color of the plate,white
114,534917,what is the color of the hillside,green
115,235842,what is the color of the cat,black
116,574144,what is the color of the field,green
117,374832,what is the color of the dog,brown
118,62581,what is the color of the bus,purple
119,106269,what is the color of the cat,gray
120,303340,what is the color of the car,black
121,302715,what is the color of the teddy,brown
122,469934,what is the color of the chair,red
123,478052,what is the color of the dress,white
124,367814,what is the color of the counter,blue
125,265236,what is the color of the train,blue
126,432636,what is the color of the bowl,blue
127,211449,what is the color of the motorcycle,blue
128,406708,what is the color of the sign,red
129,255335,what is the color of the building,brown
130,378911,what is the color of the lights,purple
131,434264,what is the color of the bears,black
132,433637,what is the color of the ocean,blue
133,229544,what is the color of the umbrella,purple
134,192747,what is the color of the horse,brown
135,270659,what is the color of the skiing,black
136,411937,what is the color of the hat,white
137,182960,what is the color of the picture,gray
138,184589,what is the color of the computer,red
139,477417,what is the color of the lights,green
140,515006,what is the color of the teddy,white
141,242404,what is the color of the flowers,purple
142,415976,what is the color of the stove,black
143,223573,what is the color of the bear,brown
144,224260,what is the color of the rail,blue
145,132386,what is the color of the photograph,white
146,473018,what is the color of the flowers,purple
147,143334,what is the color of the surface,gray
148,404283,what is the color of the shirt,purple
149,381944,what is the color of the cat,gray
150,422576,what is the color of the traffic,red
151,10337,what is the color of the washer,red
152,28373,what is the color of the dog,white
153,62707,what is the color of the bike,orange
154,76401,what is the color of the hair,gray
155,499525,what is the color of the sign,purple
156,35668,what is the color of the vase,white
157,29356,what is the color of the pan,black
158,445517,what is the color of the cows,brown
159,472312,what is the color of the scissors,purple
160,293763,what is the color of the bathroom,white
161,379246,what is the color of the trucks,blue
162,101839,what is the color of the cap,red
163,299466,what is the color of the juice,orange
164,421059,what is the color of the flowers,white
165,120846,what is the color of the sleeping,brown
166,279503,what is the color of the mix,green
167,145738,what is the color of the sign,red
168,366934,what is the color of the grass,white
169,349337,what is the color of the bedroom,white
170,155205,what is the color of the bed,red
171,39913,what is the color of the walls,purple
172,19238,what is the color of the bird,orange
173,90290,what is the color of the walls,blue
174,137970,what is the color of the cat,brown
175,89052,what is the color of the juice,orange
176,388841,what is the color of the cat,gray
177,579567,what is the color of the bird,purple
178,60671,what is the color of the field,green
179,82833,what is the color of the table,white
180,268781,what is the color of the eyes,blue
181,311953,what is the color of the bear,black
182,256539,what is the color of the shirt,white
183,137745,what is the color of the fire,red
184,581419,what is the color of the floor,brown
185,487783,what is the color of the tractor,green
186,365858,what is the color of the box,white
187,160142,what is the color of the sofa,brown
188,424607,what is the color of the ball,yellow
189,42705,what is the color of the van,white
190,63275,what is the color of the seats,brown
191,345951,what is the color of the water,blue
192,451535,what is the color of the bathroom,white
193,192852,what is the color of the statue,gray
194,222858,what is the color of the bear,black
195,477156,what is the color of the box,brown
196,393601,what is the color of the bathroom,black
197,425837,what is the color of the table,white
198,532734,what is the color of the banana,yellow
199,468730,what is the color of the bird,black
200,299380,what is the color of the vase,purple
201,83663,what is the color of the bench,blue
202,288943,what is the color of the shirt,purple
203,316585,what is the color of the table,purple
204,446937,what is the color of the shirt,white
205,241214,what is the color of the suv,blue
206,327580,what is the color of the plate,white
207,127495,what is the color of the cabinets,white
208,231393,what is the color of the wedge,orange
209,91288,what is the color of the fence,yellow
210,548935,what is the color of the team,white
211,217276,what is the color of the umbrellas,blue
212,521806,what is the color of the teddy,gray
213,446351,what is the color of the balls,yellow
214,330208,what is the color of the man,gray
215,568572,what is the color of the basket,green
216,555365,what is the color of the stop,red
217,82834,what is the color of the jacket,blue
218,481843,what is the color of the shirt,blue
219,168769,what is the color of the dog,white
220,446783,what is the color of the house,blue
221,164667,what is the color of the grass,green
222,549413,what is the color of the bed,white
223,333355,what is the color of the sky,blue
224,400926,what is the color of the frisbee,purple
225,295376,what is the color of the bus,red
226,391000,what is the color of the desk,gray
227,13146,what is the color of the saucer,white
228,561251,what is the color of the beach,brown
229,130093,what is the color of the kite,purple
230,429236,what is the color of the dog,brown
231,121229,what is the color of the cat,gray
232,79986,what is the color of the machine,purple
233,410226,what is the color of the cow,black
234,32727,what is the color of the shoe,black
235,487632,what is the color of the seats,red
236,282419,what is the color of the bear,white
237,541944,what is the color of the frisbee,red
238,540848,what is the color of the bus,red
239,520551,what is the color of the bank,green
240,90569,what is the color of the wine,red
241,131979,what is the color of the shirt,yellow
242,55202,what is the color of the tray,blue
243,228227,what is the color of the water,blue
244,508814,what is the color of the jam,red
245,474067,what is the color of the helmet,red
246,381931,what is the color of the shirt,blue
247,297969,what is the color of the water,blue
248,24305,what is the color of the dress,white
249,406356,what is the color of the man,black
250,56028,what is the color of the grass,green
251,291560,what is the color of the hydrant,red
252,134334,what is the color of the plane,white
253,541319,what is the color of the object,orange
254,524249,what is the color of the suitcase,red
255,532509,what is the color of the fixtures,white
256,181649,what is the color of the teddy,white
257,420544,what is the color of the bear,brown
258,175500,what is the color of the car,white
259,414647,what is the color of the bike,green
260,472390,what is the color of the toothbrush,orange
261,158848,what is the color of the strip,black
262,362432,what is the color of the uniform,red
263,537553,what is the color of the bears,black
264,454680,what is the color of the signs,orange
265,106843,what is the color of the walking,purple
266,310748,what is the color of the bear,brown
267,248016,what is the color of the flowers,purple
268,437967,what is the color of the plate,white
269,181990,what is the color of the bridle,purple
270,101476,what is the color of the chevy,red
271,182974,what is the color of the curtains,red
272,569250,what is the color of the grass,green
273,395850,what is the color of the sky,blue
274,18090,what is the color of the tops,blue
275,130037,what is the color of the bear,black
276,152764,what is the color of the motorcycles,black
277,550875,what is the color of the frisbee,purple
278,358171,what is the color of the umbrella,orange
279,68857,what is the color of the vase,green
280,67331,what is the color of the jacket,orange
281,115681,what is the color of the bears,brown
282,74403,what is the color of the plate,white
283,348751,what is the color of the bedspread,red
284,482967,what is the color of the swans,white
285,427462,what is the color of the plate,orange
286,205875,what is the color of the scheme,blue
287,290668,what is the color of the lamp,white
288,77662,what is the color of the goggles,green
289,66283,what is the color of the front,white
290,503074,what is the color of the lawn,green
291,206203,what is the color of the truck,yellow
292,198788,what is the color of the table,purple
293,279129,what is the color of the mascot,green
294,468202,what is the color of the shirt,yellow
295,477029,what is the color of the sits,yellow
296,101675,what is the color of the clock,purple
297,239365,what is the color of the umbrella,blue
298,479941,what is the color of the light,green
299,172387,what is the color of the jacket,gray
300,236740,what is the color of the bear,brown
301,255930,what is the color of the toilet,white
302,327455,what is the color of the linens,red
303,470361,what is the color of the plate,white
304,560309,what is the color of the carpet,purple
305,416559,what is the color of the blanket,blue
306,404854,what is the color of the coat,purple
307,124893,what is the color of the carpet,gray
308,6710,what is the color of the platform,yellow
309,579534,what is the color of the vase,white
310,96557,what is the color of the motorcycle,red
311,312660,what is the color of the horse,brown
312,213426,what is the color of the shirt,gray
313,98760,what is the color of the sticking,brown
314,512625,what is the color of the chair,red
315,363702,what is the color of the horse,brown
316,110034,what is the color of the tray,black
317,251293,what is the color of the jersey,green
318,253266,what is the color of the outfit,blue
319,323829,what is the color of the vase,red
320,72284,what is the color of the dog,brown
321,13670,what is the color of the shirt,green
322,472166,what is the color of the fire,yellow
323,549409,what is the color of the table,white
324,550021,what is the color of the toilet,white
325,113880,what is the color of the dogs,white
326,399500,what is the color of the day,gray
327,175353,what is the color of the food,purple
328,386854,what is the color of the couch,gray
329,182027,what is the color of the jacket,green
330,291499,what is the color of the backdrop,black
331,22298,what is the color of the city,orange
332,556824,what is the color of the wave,blue
333,115237,what is the color of the truck,blue
334,202431,what is the color of the dress,blue
335,71409,what is the color of the pick,red
336,431707,what is the color of the suit,gray
337,381244,what is the color of the dress,red
338,10222,what is the color of the sign,green
339,280866,what is the color of the cat,black
340,84165,what is the color of the bear,brown
341,408048,what is the color of the broccoli,green
342,119418,what is the color of the bathroom,blue
343,474784,what is the color of the garden,green
344,109156,what is the color of the photo,white
345,194312,what is the color of the jacket,blue
346,173231,what is the color of the umbrellas,blue
347,90570,what is the color of the shirt,blue
348,166503,what is the color of the bus,yellow
349,539675,what is the color of the wall,gray
350,99010,what is the color of the building,yellow
351,7224,what is the color of the bears,brown
352,55559,what is the color of the helicopter,orange
353,419173,what is the color of the outfit,purple
354,226747,what is the color of the shirt,white
355,322943,what is the color of the bananas,yellow
356,154259,what is the color of the truck,gray
357,438878,what is the color of the road,red
358,480744,what is the color of the tail,red
359,581055,what is the color of the laptop,white
360,147052,what is the color of the bus,purple
361,345701,what is the color of the bears,brown
362,69350,what is the color of the bear,brown
363,552819,what is the color of the rug,red
364,268081,what is the color of the picture,white
365,88330,what is the color of the bikes,blue
366,111400,what is the color of the comforter,white
367,403525,what is the color of the building,gray
368,578072,what is the color of the cat,gray
369,276554,what is the color of the wall,white
370,2089,what is the color of the driving,red
371,144330,what is the color of the beverage,green
372,442422,what is the color of the kitten,gray
373,480115,what is the color of the sky,blue
374,412545,what is the color of the refrigerator,white
375,318164,what is the color of the engine,black
376,229352,what is the color of the field,green
377,33272,what is the color of the hat,orange
378,453008,what is the color of the jacket,blue
379,37979,what is the color of the bag,yellow
380,362604,what is the color of the train,black
381,104026,what is the color of the kites,green
382,136111,what is the color of the monkey,brown
383,509988,what is the color of the field,brown
384,330208,what is the color of the tie,green
385,336492,what is the color of the flowers,purple
386,394089,what is the color of the kite,purple
387,334011,what is the color of the horse,white
388,485044,what is the color of the cat,black
389,143521,what is the color of the blanket,red
390,540321,what is the color of the couch,white
391,286484,what is the color of the shirt,white
392,526898,what is the color of the church,white
393,519365,what is the color of the light,green
394,247110,what is the color of the train,yellow
395,267798,what is the color of the frisbee,yellow
396,70104,what is the color of the bus,red
397,429671,what is the color of the cow,black
398,507781,what is the color of the machine,black
399,424138,what is the color of the cow,black
400,187869,what is the color of the house,red
401,508938,what is the color of the buildings,brown
402,16169,what is the color of the paper,brown
403,320376,what is the color of the spread,white
404,416972,what shaped building with two clocks and a triangle shaped color roof,tower
405,241283,what is the color of the mask,black
406,75110,what is the color of the teddy,red
407,210731,what is the color of the building,red
408,315462,what is the color of the motorcycle,orange
409,94096,what is the color of the multi,white
410,571745,what is the color of the toilet,white
411,121018,what is the color of the aprons,red
412,46965,what is the color of the eyes,brown
413,210063,what is the color of the wall,blue
414,439838,what is the color of the airplane,orange
415,331793,what is the color of the truck,red
416,447108,what is the color of the grass,green
417,241461,what is the color of the wool,brown
418,102447,what is the color of the table,red
419,57178,what is the color of the display,yellow
420,283697,what is the color of the table,white
421,576026,what is the color of the car,yellow
422,83986,what is the color of the building,gray
423,190580,what is the color of the cat,black
424,557848,what is the color of the booth,red
425,196406,what is the color of the shirt,green
426,439720,what is the color of the umbrella,orange
427,541050,what is the color of the blazer,brown
428,99180,what is the color of the sign,yellow
429,23479,what is the color of the luggage,brown
430,490959,what is the color of the bike,white
431,569667,what is the color of the plate,white
432,21883,what is the color of the hat,purple
433,343598,what is the color of the laptop,black
434,294353,what is the color of the flowers,purple
435,534791,what is the color of the stoplight,yellow
436,330524,what is the color of the screen,blue
437,545534,what is the color of the poles,red
438,560685,what is the color of the cat,orange
439,300392,what is the color of the toilets,blue
440,319427,what is the color of the train,black
441,264676,what is the color of the truck,red
442,525549,what is the color of the field,green
443,137745,what is the color of the hydrant,red
444,147270,what is the color of the pants,black
445,81995,what is the color of the horse,black
446,350854,what is the color of the cat,gray
447,11667,what is the color of the pasture,green
448,467790,what is the color of the grass,green
449,229821,what is the color of the markings,brown
450,128943,what is the color of the leafs,green
451,392727,what is the color of the teddy,brown
452,225191,what is the color of the wood,brown
453,465049,what is the color of the hydrant,red
454,44228,what is the color of the shirt,white
455,221252,what is the color of the image,white
456,534959,what is the color of the sleeping,orange
457,300123,what is the color of the bear,brown
458,81397,what is the color of the leaves,green
459,271357,what is the color of the cat,gray
460,520449,what is the color of the horse,brown
461,101761,what is the color of the sink,white
462,360855,what is the color of the wine,white
463,290153,what is the color of the table,orange
464,455132,what is the color of the trains,orange
465,542814,what is the color of the one,brown
466,80519,what is the color of the cat,orange
467,419757,what is the color of the sunset,orange
468,503478,what is the color of the table,red
469,517521,what is the color of the dog,black
470,66691,what is the color of the chairs,red
471,19955,what is the color of the suit,black
472,38380,what is the color of the uniforms,red
473,471901,what is the color of the skies,gray
474,277616,what is the color of the paint,blue
475,510365,what is the color of the shirt,white
476,275604,what is the color of the truck,black
477,186268,what is the color of the plate,green
478,39067,what is the color of the rice,white
479,454611,what is the color of the dog,brown
480,164493,what is the color of the field,green
481,322089,what is the color of the motorcycle,yellow
482,160852,what is the color of the cows,brown
483,128652,what is the color of the sky,blue
484,471280,what is the color of the trains,orange
485,174238,what is the color of the sky,blue
486,565652,what is the color of the field,green
487,215776,what is the color of the hydrant,orange
488,135010,what is the color of the toilet,white
489,489183,what is the color of the bear,black
490,326011,what is the color of the bear,black
