,Image_IDs,Questions_Answers
0,CLEVR_val_000145,"[{'question': 'Is the large red cylinder right of the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere right of the large red cylinder?', 'answer': 0}, {'question': 'Is the small green sphere right of the small gray cube?', 'answer': 1}, {'question': 'Is the small gray cube right of the small green sphere?', 'answer': 0}, {'question': 'Is the large red cylinder right of the small gray cube?', 'answer': 1}, {'question': 'Is the small gray cube right of the large red cylinder?', 'answer': 0}, {'question': 'Is the small gray cube behind the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere behind the small gray cube?', 'answer': 0}, {'question': 'Is the large red cylinder behind the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere behind the large red cylinder?', 'answer': 0}, {'question': 'Is the large red cylinder behind the small gray cube?', 'answer': 1}, {'question': 'Is the small gray cube behind the large red cylinder?', 'answer': 0}, {'question': 'Is the small green sphere in front of the small gray cube?', 'answer': 1}, {'question': 'Is the small gray cube in front of the small green sphere?', 'answer': 0}, {'question': 'Is the small green sphere in front of the large red cylinder?', 'answer': 1}, {'question': 'Is the large red cylinder in front of the small green sphere?', 'answer': 0}, {'question': 'Is the small gray cube in front of the large red cylinder?', 'answer': 1}, {'question': 'Is the large red cylinder in front of the small gray cube?', 'answer': 0}, {'question': 'Is the small gray cube left of the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere left of the small gray cube?', 'answer': 0}, {'question': 'Is the small green sphere left of the large red cylinder?', 'answer': 1}, {'question': 'Is the large red cylinder left of the small green sphere?', 'answer': 0}, {'question': 'Is the small gray cube left of the large red cylinder?', 'answer': 1}, {'question': 'Is the large red cylinder left of the small gray cube?', 'answer': 0}]"
1,CLEVR_val_000187,"[{'question': 'Is the large green cylinder right of the small cyan sphere?', 'answer': 1}, {'question': 'Is the small cyan sphere right of the large green cylinder?', 'answer': 0}, {'question': 'Is the large green cylinder right of the small green cube?', 'answer': 1}, {'question': 'Is the small green cube right of the large green cylinder?', 'answer': 0}, {'question': 'Is the small cyan sphere right of the small green cube?', 'answer': 1}, {'question': 'Is the small green cube right of the small cyan sphere?', 'answer': 0}, {'question': 'Is the small cyan sphere behind the large green cylinder?', 'answer': 1}, {'question': 'Is the large green cylinder behind the small cyan sphere?', 'answer': 0}, {'question': 'Is the small green cube behind the large green cylinder?', 'answer': 1}, {'question': 'Is the large green cylinder behind the small green cube?', 'answer': 0}, {'question': 'Is the small cyan sphere behind the small green cube?', 'answer': 1}, {'question': 'Is the small green cube behind the small cyan sphere?', 'answer': 0}, {'question': 'Is the large green cylinder in front of the small cyan sphere?', 'answer': 1}, {'question': 'Is the small cyan sphere in front of the large green cylinder?', 'answer': 0}, {'question': 'Is the small green cube in front of the small cyan sphere?', 'answer': 1}, {'question': 'Is the small cyan sphere in front of the small green cube?', 'answer': 0}, {'question': 'Is the large green cylinder in front of the small green cube?', 'answer': 1}, {'question': 'Is the small green cube in front of the large green cylinder?', 'answer': 0}, {'question': 'Is the small cyan sphere left of the large green cylinder?', 'answer': 1}, {'question': 'Is the large green cylinder left of the small cyan sphere?', 'answer': 0}, {'question': 'Is the small green cube left of the large green cylinder?', 'answer': 1}, {'question': 'Is the large green cylinder left of the small green cube?', 'answer': 0}, {'question': 'Is the small green cube left of the small cyan sphere?', 'answer': 1}, {'question': 'Is the small cyan sphere left of the small green cube?', 'answer': 0}]"
2,CLEVR_val_000194,"[{'question': 'Is the small purple sphere right of the large yellow cylinder?', 'answer': 1}, {'question': 'Is the large yellow cylinder right of the small purple sphere?', 'answer': 0}, {'question': 'Is the small purple sphere right of the large yellow cube?', 'answer': 1}, {'question': 'Is the large yellow cube right of the small purple sphere?', 'answer': 0}, {'question': 'Is the large yellow cylinder right of the large yellow cube?', 'answer': 1}, {'question': 'Is the large yellow cube right of the large yellow cylinder?', 'answer': 0}, {'question': 'Is the large yellow cylinder behind the small purple sphere?', 'answer': 1}, {'question': 'Is the small purple sphere behind the large yellow cylinder?', 'answer': 0}, {'question': 'Is the small purple sphere behind the large yellow cube?', 'answer': 1}, {'question': 'Is the large yellow cube behind the small purple sphere?', 'answer': 0}, {'question': 'Is the large yellow cylinder behind the large yellow cube?', 'answer': 1}, {'question': 'Is the large yellow cube behind the large yellow cylinder?', 'answer': 0}, {'question': 'Is the large yellow cube in front of the small purple sphere?', 'answer': 1}, {'question': 'Is the small purple sphere in front of the large yellow cube?', 'answer': 0}, {'question': 'Is the small purple sphere in front of the large yellow cylinder?', 'answer': 1}, {'question': 'Is the large yellow cylinder in front of the small purple sphere?', 'answer': 0}, {'question': 'Is the large yellow cube in front of the large yellow cylinder?', 'answer': 1}, {'question': 'Is the large yellow cylinder in front of the large yellow cube?', 'answer': 0}, {'question': 'Is the large yellow cylinder left of the small purple sphere?', 'answer': 1}, {'question': 'Is the small purple sphere left of the large yellow cylinder?', 'answer': 0}, {'question': 'Is the large yellow cube left of the small purple sphere?', 'answer': 1}, {'question': 'Is the small purple sphere left of the large yellow cube?', 'answer': 0}, {'question': 'Is the large yellow cube left of the large yellow cylinder?', 'answer': 1}, {'question': 'Is the large yellow cylinder left of the large yellow cube?', 'answer': 0}]"
3,CLEVR_val_000206,"[{'question': 'Is the large cyan cube right of the small red sphere?', 'answer': 1}, {'question': 'Is the small red sphere right of the large cyan cube?', 'answer': 0}, {'question': 'Is the small red sphere right of the large gray cylinder?', 'answer': 1}, {'question': 'Is the large gray cylinder right of the small red sphere?', 'answer': 0}, {'question': 'Is the large cyan cube right of the large gray cylinder?', 'answer': 1}, {'question': 'Is the large gray cylinder right of the large cyan cube?', 'answer': 0}, {'question': 'Is the small red sphere behind the large cyan cube?', 'answer': 1}, {'question': 'Is the large cyan cube behind the small red sphere?', 'answer': 0}, {'question': 'Is the small red sphere behind the large gray cylinder?', 'answer': 1}, {'question': 'Is the large gray cylinder behind the small red sphere?', 'answer': 0}, {'question': 'Is the large cyan cube behind the large gray cylinder?', 'answer': 1}, {'question': 'Is the large gray cylinder behind the large cyan cube?', 'answer': 0}, {'question': 'Is the large cyan cube in front of the small red sphere?', 'answer': 1}, {'question': 'Is the small red sphere in front of the large cyan cube?', 'answer': 0}, {'question': 'Is the large gray cylinder in front of the small red sphere?', 'answer': 1}, {'question': 'Is the small red sphere in front of the large gray cylinder?', 'answer': 0}, {'question': 'Is the large gray cylinder in front of the large cyan cube?', 'answer': 1}, {'question': 'Is the large cyan cube in front of the large gray cylinder?', 'answer': 0}, {'question': 'Is the large gray cylinder left of the small red sphere?', 'answer': 1}, {'question': 'Is the small red sphere left of the large gray cylinder?', 'answer': 0}, {'question': 'Is the small red sphere left of the large cyan cube?', 'answer': 1}, {'question': 'Is the large cyan cube left of the small red sphere?', 'answer': 0}, {'question': 'Is the large gray cylinder left of the large cyan cube?', 'answer': 1}, {'question': 'Is the large cyan cube left of the large gray cylinder?', 'answer': 0}]"
4,CLEVR_val_000233,"[{'question': 'Is the small brown cylinder right of the small green cube?', 'answer': 1}, {'question': 'Is the small green cube right of the small brown cylinder?', 'answer': 0}, {'question': 'Is the small green sphere right of the small green cube?', 'answer': 1}, {'question': 'Is the small green cube right of the small green sphere?', 'answer': 0}, {'question': 'Is the small green sphere right of the small brown cylinder?', 'answer': 1}, {'question': 'Is the small brown cylinder right of the small green sphere?', 'answer': 0}, {'question': 'Is the small brown cylinder behind the small green cube?', 'answer': 1}, {'question': 'Is the small green cube behind the small brown cylinder?', 'answer': 0}, {'question': 'Is the small green cube behind the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere behind the small green cube?', 'answer': 0}, {'question': 'Is the small brown cylinder behind the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere behind the small brown cylinder?', 'answer': 0}, {'question': 'Is the small green sphere in front of the small green cube?', 'answer': 1}, {'question': 'Is the small green cube in front of the small green sphere?', 'answer': 0}, {'question': 'Is the small green cube in front of the small brown cylinder?', 'answer': 1}, {'question': 'Is the small brown cylinder in front of the small green cube?', 'answer': 0}, {'question': 'Is the small green sphere in front of the small brown cylinder?', 'answer': 1}, {'question': 'Is the small brown cylinder in front of the small green sphere?', 'answer': 0}, {'question': 'Is the small green cube left of the small brown cylinder?', 'answer': 1}, {'question': 'Is the small brown cylinder left of the small green cube?', 'answer': 0}, {'question': 'Is the small green cube left of the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere left of the small green cube?', 'answer': 0}, {'question': 'Is the small brown cylinder left of the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere left of the small brown cylinder?', 'answer': 0}]"
5,CLEVR_val_000235,"[{'question': 'Is the small cyan cylinder right of the large green sphere?', 'answer': 1}, {'question': 'Is the large green sphere right of the small cyan cylinder?', 'answer': 0}, {'question': 'Is the large gray cube right of the large green sphere?', 'answer': 1}, {'question': 'Is the large green sphere right of the large gray cube?', 'answer': 0}, {'question': 'Is the large gray cube right of the small cyan cylinder?', 'answer': 1}, {'question': 'Is the small cyan cylinder right of the large gray cube?', 'answer': 0}, {'question': 'Is the small cyan cylinder behind the large green sphere?', 'answer': 1}, {'question': 'Is the large green sphere behind the small cyan cylinder?', 'answer': 0}, {'question': 'Is the large green sphere behind the large gray cube?', 'answer': 1}, {'question': 'Is the large gray cube behind the large green sphere?', 'answer': 0}, {'question': 'Is the small cyan cylinder behind the large gray cube?', 'answer': 1}, {'question': 'Is the large gray cube behind the small cyan cylinder?', 'answer': 0}, {'question': 'Is the large gray cube in front of the large green sphere?', 'answer': 1}, {'question': 'Is the large green sphere in front of the large gray cube?', 'answer': 0}, {'question': 'Is the large green sphere in front of the small cyan cylinder?', 'answer': 1}, {'question': 'Is the small cyan cylinder in front of the large green sphere?', 'answer': 0}, {'question': 'Is the large gray cube in front of the small cyan cylinder?', 'answer': 1}, {'question': 'Is the small cyan cylinder in front of the large gray cube?', 'answer': 0}, {'question': 'Is the large green sphere left of the small cyan cylinder?', 'answer': 1}, {'question': 'Is the small cyan cylinder left of the large green sphere?', 'answer': 0}, {'question': 'Is the large green sphere left of the large gray cube?', 'answer': 1}, {'question': 'Is the large gray cube left of the large green sphere?', 'answer': 0}, {'question': 'Is the small cyan cylinder left of the large gray cube?', 'answer': 1}, {'question': 'Is the large gray cube left of the small cyan cylinder?', 'answer': 0}]"
6,CLEVR_val_000259,"[{'question': 'Is the large brown sphere right of the small red cube?', 'answer': 1}, {'question': 'Is the small red cube right of the large brown sphere?', 'answer': 0}, {'question': 'Is the large brown sphere right of the small blue cylinder?', 'answer': 1}, {'question': 'Is the small blue cylinder right of the large brown sphere?', 'answer': 0}, {'question': 'Is the small red cube right of the small blue cylinder?', 'answer': 1}, {'question': 'Is the small blue cylinder right of the small red cube?', 'answer': 0}, {'question': 'Is the large brown sphere behind the small red cube?', 'answer': 1}, {'question': 'Is the small red cube behind the large brown sphere?', 'answer': 0}, {'question': 'Is the small blue cylinder behind the small red cube?', 'answer': 1}, {'question': 'Is the small red cube behind the small blue cylinder?', 'answer': 0}, {'question': 'Is the large brown sphere behind the small blue cylinder?', 'answer': 1}, {'question': 'Is the small blue cylinder behind the large brown sphere?', 'answer': 0}, {'question': 'Is the small red cube in front of the large brown sphere?', 'answer': 1}, {'question': 'Is the large brown sphere in front of the small red cube?', 'answer': 0}, {'question': 'Is the small blue cylinder in front of the large brown sphere?', 'answer': 1}, {'question': 'Is the large brown sphere in front of the small blue cylinder?', 'answer': 0}, {'question': 'Is the small red cube in front of the small blue cylinder?', 'answer': 1}, {'question': 'Is the small blue cylinder in front of the small red cube?', 'answer': 0}, {'question': 'Is the small red cube left of the large brown sphere?', 'answer': 1}, {'question': 'Is the large brown sphere left of the small red cube?', 'answer': 0}, {'question': 'Is the small blue cylinder left of the large brown sphere?', 'answer': 1}, {'question': 'Is the large brown sphere left of the small blue cylinder?', 'answer': 0}, {'question': 'Is the small blue cylinder left of the small red cube?', 'answer': 1}, {'question': 'Is the small red cube left of the small blue cylinder?', 'answer': 0}]"
7,CLEVR_val_000280,"[{'question': 'Is the large red cylinder right of the large red cube?', 'answer': 1}, {'question': 'Is the large red cube right of the large red cylinder?', 'answer': 0}, {'question': 'Is the large red cube right of the large purple sphere?', 'answer': 1}, {'question': 'Is the large purple sphere right of the large red cube?', 'answer': 0}, {'question': 'Is the large red cylinder right of the large purple sphere?', 'answer': 1}, {'question': 'Is the large purple sphere right of the large red cylinder?', 'answer': 0}, {'question': 'Is the large purple sphere behind the large red cube?', 'answer': 1}, {'question': 'Is the large red cube behind the large purple sphere?', 'answer': 0}, {'question': 'Is the large red cube behind the large red cylinder?', 'answer': 1}, {'question': 'Is the large red cylinder behind the large red cube?', 'answer': 0}, {'question': 'Is the large purple sphere behind the large red cylinder?', 'answer': 1}, {'question': 'Is the large red cylinder behind the large purple sphere?', 'answer': 0}, {'question': 'Is the large red cylinder in front of the large red cube?', 'answer': 1}, {'question': 'Is the large red cube in front of the large red cylinder?', 'answer': 0}, {'question': 'Is the large red cube in front of the large purple sphere?', 'answer': 1}, {'question': 'Is the large purple sphere in front of the large red cube?', 'answer': 0}, {'question': 'Is the large red cylinder in front of the large purple sphere?', 'answer': 1}, {'question': 'Is the large purple sphere in front of the large red cylinder?', 'answer': 0}, {'question': 'Is the large purple sphere left of the large red cube?', 'answer': 1}, {'question': 'Is the large red cube left of the large purple sphere?', 'answer': 0}, {'question': 'Is the large red cube left of the large red cylinder?', 'answer': 1}, {'question': 'Is the large red cylinder left of the large red cube?', 'answer': 0}, {'question': 'Is the large purple sphere left of the large red cylinder?', 'answer': 1}, {'question': 'Is the large red cylinder left of the large purple sphere?', 'answer': 0}]"
8,CLEVR_val_000322,"[{'question': 'Is the small red sphere right of the large gray cube?', 'answer': 1}, {'question': 'Is the large gray cube right of the small red sphere?', 'answer': 0}, {'question': 'Is the large yellow cylinder right of the large gray cube?', 'answer': 1}, {'question': 'Is the large gray cube right of the large yellow cylinder?', 'answer': 0}, {'question': 'Is the small red sphere right of the large yellow cylinder?', 'answer': 1}, {'question': 'Is the large yellow cylinder right of the small red sphere?', 'answer': 0}, {'question': 'Is the small red sphere behind the large gray cube?', 'answer': 1}, {'question': 'Is the large gray cube behind the small red sphere?', 'answer': 0}, {'question': 'Is the small red sphere behind the large yellow cylinder?', 'answer': 1}, {'question': 'Is the large yellow cylinder behind the small red sphere?', 'answer': 0}, {'question': 'Is the large gray cube behind the large yellow cylinder?', 'answer': 1}, {'question': 'Is the large yellow cylinder behind the large gray cube?', 'answer': 0}, {'question': 'Is the large gray cube in front of the small red sphere?', 'answer': 1}, {'question': 'Is the small red sphere in front of the large gray cube?', 'answer': 0}, {'question': 'Is the large yellow cylinder in front of the small red sphere?', 'answer': 1}, {'question': 'Is the small red sphere in front of the large yellow cylinder?', 'answer': 0}, {'question': 'Is the large yellow cylinder in front of the large gray cube?', 'answer': 1}, {'question': 'Is the large gray cube in front of the large yellow cylinder?', 'answer': 0}, {'question': 'Is the large gray cube left of the small red sphere?', 'answer': 1}, {'question': 'Is the small red sphere left of the large gray cube?', 'answer': 0}, {'question': 'Is the large yellow cylinder left of the small red sphere?', 'answer': 1}, {'question': 'Is the small red sphere left of the large yellow cylinder?', 'answer': 0}, {'question': 'Is the large gray cube left of the large yellow cylinder?', 'answer': 1}, {'question': 'Is the large yellow cylinder left of the large gray cube?', 'answer': 0}]"
9,CLEVR_val_000380,"[{'question': 'Is the small green sphere right of the small red cylinder?', 'answer': 1}, {'question': 'Is the small red cylinder right of the small green sphere?', 'answer': 0}, {'question': 'Is the small red cylinder right of the small yellow cube?', 'answer': 1}, {'question': 'Is the small yellow cube right of the small red cylinder?', 'answer': 0}, {'question': 'Is the small green sphere right of the small yellow cube?', 'answer': 1}, {'question': 'Is the small yellow cube right of the small green sphere?', 'answer': 0}, {'question': 'Is the small green sphere behind the small red cylinder?', 'answer': 1}, {'question': 'Is the small red cylinder behind the small green sphere?', 'answer': 0}, {'question': 'Is the small yellow cube behind the small red cylinder?', 'answer': 1}, {'question': 'Is the small red cylinder behind the small yellow cube?', 'answer': 0}, {'question': 'Is the small yellow cube behind the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere behind the small yellow cube?', 'answer': 0}, {'question': 'Is the small red cylinder in front of the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere in front of the small red cylinder?', 'answer': 0}, {'question': 'Is the small red cylinder in front of the small yellow cube?', 'answer': 1}, {'question': 'Is the small yellow cube in front of the small red cylinder?', 'answer': 0}, {'question': 'Is the small green sphere in front of the small yellow cube?', 'answer': 1}, {'question': 'Is the small yellow cube in front of the small green sphere?', 'answer': 0}, {'question': 'Is the small yellow cube left of the small red cylinder?', 'answer': 1}, {'question': 'Is the small red cylinder left of the small yellow cube?', 'answer': 0}, {'question': 'Is the small red cylinder left of the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere left of the small red cylinder?', 'answer': 0}, {'question': 'Is the small yellow cube left of the small green sphere?', 'answer': 1}, {'question': 'Is the small green sphere left of the small yellow cube?', 'answer': 0}]"
