,train_image_id_count,question_count,answer_count
0,32220,how many boats anchored by ropes close to shore,eight
1,171768,how many giraffes walking near a hut in an enclosure,two
2,480687,how many elephants walking in a grassy area with trees and rocks,three
3,110776,how many light brown teddy bear in between an iron door,one
4,57866,how many giraffes is eating leaves hung up in an open area,four
5,576695,how many oranges have funny faces drawn on them,five
6,346712,how many children fight for control of the ball in a soccer match,two
7,69197,how many people on the snow one is laying on his back,two
8,548273,how many airplanes leaving trails in the sky above power lines,four
9,553894,how many people on a grassy field with a kite,four
10,407092,how many people is skiing on a snow covered hill,five
11,327881,how many zebras are there that are walking together in the dirt,two
12,563601,how many plastic trays do the each have different foods in them,four
13,456589,how many white birds is flying around a grassy spot,three
14,529511,how many pieces of broccoli is sitting next to a cranberry desert,three
15,286925,how many people are standing in some water two are holding surfboards,four
16,576733,how many people in a a small boat drift lazily on a clear calm sea,four
17,578567,"how many boy pitching , one boy on base on a baseball field",one
18,501648,how many clocks all with different times above double doors,four
19,452619,how many small children one has the purple umbrella and the other an orange and black one,two
20,353175,how many elephants walk along the path next to water,two
21,222664,how many slice is there of pizza left in the box,one
22,77481,how many boys is sitting down with their apple laptops in their laps,four
23,339421,how many way stop sign on the corner of lindley ave,four
24,341087,how many people is posing for a picture inside of a grocery store,three
25,364582,how many people walk on the beach near waves coming toward the ocean,two
26,381305,"how many people on a bench , one of whom has an umbrella",two
27,246298,how many restaurant workers are preparing meals in a kitchen,four
28,536641,how many people is walking towards the water carrying surfboards,two
29,415027,how many people is waiting for a ski lift up a mountain,four
30,117884,how many hands is holding a very big doughnut with pink icing,two
31,302397,how many people is riding a motorcycle down a street with an umbrella attached to it,two
32,411517,how many topless women is holding some sub sandwiches with them,two
33,530629,how many women are ridng together on their horses,four
34,538737,how many polar bears on rocks near a body of water,two
35,23258,how many women drink red wine at a table near a fireplace decorated with delft blue and white tiles,two
36,156594,how many people seem to be playing the nintendo wii on a large screen,four
37,526697,how many surfboards of various lengths resting in a rack,seven
38,555520,how many sheep grazing in the grass on a farm,three
39,210537,how many women are trying to sailboard on the water,two
40,374453,how many way sign on light pole onto bush from obama,one
41,504554,how many bananas are hanging from the wooden stand,three
42,443673,how many friends is playing a wii motion controlled video game,four
43,38046,how many containers are there with different types of food,three
44,371651,how many people with surf boards is looking at the water,three
45,410981,how many boys playing baseball on a field with fences around it,three
46,521739,"how many booths for distributing print media , standing next to a hydrant",three
47,223203,"how many fluffy white dogs on the side of the road , one with a leash attached",two
48,510418,how many fighter jets fly close together in formation,four
49,517430,how many men are repairing the broken plane outside,three
50,433616,how many traffic signs are all attached to the same sign post,five
51,101094,how many men are riding on top of an elephant,two
52,43464,how many way '' sign is posted on top of a `` stop '' sign,one
53,197891,how many zebra graze in the field of grass,three
54,7504,how many different clocks on a wall with different time zones,three
55,485550,how many sign sign posted above the red stop sign,one
56,211850,how many women are playing on laptops near a box of donuts,two
57,60953,how many yak-11 stunt planes show off at an air show,three
58,84495,how many elephants are grazing in the lush green pasture under darkened clouds,three
59,72969,how many young men is walking down a sidewalk holding a baseball bat,two
60,515590,how many older type amtrak cars is sitting on tracks,two
61,282987,how many giraffes are standing next to the tree,three
62,81042,how many bottles of baby formula is sitting on the counter,five
63,558194,how many sheep does the man herd using two dogs,nine
64,567186,how many zebras are bent over and grazing on the grass,six
65,519211,how many different pictures of a woman with a cellphone,two
66,344632,how many children at a table eating and drinking water,three
67,28889,how many man is leaning on the parking meter talking to another man,one
68,235840,how many giraffes are in the grassy field . one is standing tall and one is half bent over and the last one is bent all the way over and is eating grass,three
69,90985,how many oranges arranged in the circle with a small tomato on top,seven
70,447084,how many young men is standing together holding a surfboard,three
71,542640,how many giraffes in grassy area with trees in background,two
72,339535,how many birds standing on the ground in a field,two
73,252010,how many skateboarders is doing jumps in a parking garage,three
74,452250,how many man is cutting another mans hair with scissors,one
75,562677,how many men standing outside a parked eighteen wheeler truck,three
76,468193,how many horse is laying down while two others are standing in a field,one
77,24436,how many young adults sit around the table playing cards,five
78,84114,how many boys in a little league team is posing for a picture,three
79,119139,how many people are there on the beach surfing,two
80,157815,how many kites fly high in the blue sky,six
81,493732,how many decorated cakes are on the white table,five
82,508710,how many zebras is standing together eating grass in a field,two
83,510564,how many plates of pizza lined up in a row,four
84,426877,how many men in grassy field is playing with a frisbee,two
85,194685,how many children are laying in their bunk beds,two
86,462132,how many boys playing baseball on a field during the day,two
87,100626,how many vases with flowers on a table,three
88,155519,how many kids is making faces in a bathroom mirror in front of sinks,two
89,144,how many giraffes standing in the dirt in a fenced in area,three
90,163326,how many girls are spinning around with baseball bats,two
