,train_image_id_count,question_count,answer_count
0,117931,where is the black cat laying down,sink
1,129995,where did many white sinks line up,room
2,416468,where are the tulips on the table,vase
3,36639,where did the van and some cars park,street
4,18917,where did meat and pasta dish with vegetable serve,bowl
5,140340,where does the clock give the time,station
6,9620,where do the white stove and cabinets sit,kitchen
7,109145,where is the white cabinetry shown,kitchen
8,127558,where does the home office desk support a laptop and a printer,drawer
9,508504,where are two people looking at their laptops,room
10,346456,where do yellow signs indicate a sharp turn ahead,road
11,59476,where did the man cook a turkey,foil
12,238562,where are the variety of doughnuts shown,box
13,45325,where did variety of baked goods display,window
14,244465,where does the large pizza sit,box
15,84881,where is the siamese cat laying,sink
16,53037,where is a beige couch and orange pillows,room
17,223086,where is the person doing a skateboard trick,mirror
18,53589,where is person laying,bed
19,535898,where is the person holding his hand out,street
20,308936,where is the woman sitting,chair
21,552569,where are beads hanging,doorway
22,160433,where is the train traveling down tracks,station
23,178785,where is the open shower curtain reflected,mirror
24,195952,where does the young boy under a red bedspread sleep,bed
25,506073,where are the girl and boy playing video games,room
26,218114,where is the woman laying,bed
27,166200,where is the stuffed animal situated,chair
28,491111,where is the little girl sitting,bed
29,330164,where is the man giving a puppy a bath,sink
30,460533,where is the big cat sitting,sink
31,490908,where are some flowers siting,vase
32,239793,where do the koala teddy bear holding a baby koala teddy bear,chair
33,140867,where is the family sitting,room
34,28690,where are many zebras together,zoo
35,263493,where does the cat squint at a dog,tub
36,39434,where is the man pushing a refrigerator under construction,house
37,527073,where do seven teddy bears sit,wagon
38,335999,where are the stop sign and some cones sitting,road
39,290753,where is the large dog laying,bed
40,218368,where is the creepy man taking a selfish of himself,mirror
41,476530,where does the cat sun itself,window
42,277070,where is the cat sitting,bag
43,535768,where is the bed with a kid laying on top of it,bedroom
44,504850,where does the person hold a stop sign,street
45,107147,where are four donuts left,box
46,111727,where is the cat laying,sink
47,340333,where is the large brown bear sitting up,zoo
48,383658,where is the black dog sitting,chair
49,467265,where are these children flying their kites,street
50,284993,where did the beautiful pink rise,vase
51,457477,where does black lab enjoy his reflection,mirror
52,206628,where are the two woman baking,kitchen
53,105339,where is the woman taking a photo of herself,mirror
54,287907,where is the ram looking alert while standing,pin
55,27616,where did the parked motorcycle load,garage
56,415269,where does some giraffes standing,pen
57,137777,where are clocks easy for all to see,tower
58,147369,where did the pizza slice on sitting on a counter,box
59,367969,where is the person in a helmet skateboarding and holding some purchases,bag
60,54182,where is the gray and white cat laying on it 's back with it 's head looking up,drawer
61,365236,where is the yorkshire terrier sitting,purse
62,121555,where is the double-decker bus parked,street
63,42519,where is the cheese sandwich cooking,pan
64,444206,where are two toilets sitting,room
65,526098,where are some kids playing and having fun,store
66,418722,where did the salad serve,bowl
67,201278,where is one train parked and another is outside the station,station
68,431139,where is the red train car sitting,station
69,544850,where are two men playing a video wii game,room
70,545364,where is the stuffed bear sitting,basket
71,168020,where is the dog wearing a red santa suit looks,mirror
72,536830,"where did the person with a camera , toilet and some towels reflect",mirror
73,297964,where is the woman brushing her long hair,bedroom
74,119805,where is the dog and looking out the window,car
75,347794,where is the woman with bright red hair and tattoos,bathroom
76,161518,where is the bouquet of flowers set to be pretty,vase
77,275353,where is the laptop computer,machine
78,237064,where is the man walking outside near a bus and a building,backpack
79,110873,where do the white toilet bowl,restroom
80,372996,where does the giraffe look over the rocks,pen
81,81707,where is the man trying to fix the oven,kitchen
82,360157,where is the black orange white and black cat laying,suitcase
83,23588,where is the pizza being made,oven
84,111943,where are people watching a screen,room
85,275413,where is the bald man placing an uncooked turkey,oven
86,481428,where are several cows gathered,pen
87,459203,where do roses in full bloom sit,vase
88,362668,where did the toilet bowl paint two different colors,bathroom
89,420747,where is the man preparing food while standing,kitchen
90,261879,where are two men lying,bed
91,321057,where is the brown black and white dog sitting,window
92,470029,where is the bathroom reflected,door
93,327328,where is the orange kitten,bag
94,308592,where is the pizza sitting,box
95,185591,where are the two people cooking,store
96,500664,where is the light on green,street
97,24915,where did the view of someone 's feet hook up,snowboard
98,552453,where are three men playing an interactive video game,room
99,233970,where is the cat lying,bed
100,450761,where do the man flipping pizza dough,kitchen
101,252801,where is the man measuring some bottled water,spoon
102,225667,where are two toothbrushes a toothpaste,container
103,175651,where is the man holding a cardboard box,building
104,464650,where is the woman using a ktichen tool to make something,bowl
105,233970,where is the cat laying,room
106,314849,where are the couple of people standing around,room
107,124914,where are some fruits and vegetables and a ghost,container
108,294934,where is the vintage white stove sitting,kitchen
109,90962,where are flowers and pictures displayed,room
110,387121,where does the man leave his helmet on the sink while using a hand dryer in a public restroom,backpack
111,40338,where is the man showing the mess to the ladies,fridge
112,228133,where does the pair of doughnuts sit,box
113,202004,where did the horse load down with a buggy,street
114,43979,where is the white toilet sitting,stall
115,491029,where do three ripe bananas sit,bowl
116,255226,"where does the young person stand , holding up a box of food , near the island counter",kitchen
117,205460,where does two computer monitor,office
118,302481,where did the helicopter dock,warehouse
119,296161,where is the black cat sitting,chair
120,50658,where is the small boat docked,dock
121,256662,where are two sausage hotdogs,basket
122,286019,where is a double bed,bedroom
123,118726,where is the room very empty and clean,house
124,368474,where is the woman working,kitchen
125,506701,where does everybody like to get,bed
126,160967,"where does the person sit , watching people play in the water",chair
127,226308,where is the black pug dog sitting,chair
128,226648,where was the suitcase left abandoned,house
129,347700,"where may he be , but at least he is not driving",car
130,437395,where is the dog 's reflection,mirror
131,442926,where is an older lady working,kitchen
132,210275,where is a very tall giraffe,zoo
133,274559,"where are the group of men standing , talking and cooking",kitchen
134,307881,"where are two girls brushing their teeth ,",bathroom
135,51052,where did the man watch the man on a small bike,wheelchair
136,80609,where is woman sitting,room
137,84758,where is the small child sleeping,bed
138,544516,where are some brown horses and one is eating,stall
139,452872,where is the cat curled up,ball
140,311957,where is the brown and white horse eating some green grass,pen
141,550030,where does the black and brown tabby cat sit,backpack
142,99295,"where are apples , blackberries , and coffee beans featured",photograph
143,201168,where is the a big clock,building
144,103318,where does the small dog admire itself,mirror
145,41753,where is the girl taking to a teddy bear,chair
146,397454,where is the man riding his skate board,street
147,562071,where is woman carrying a brown box standing,doorway
148,246923,where is the motor scooter parked,window
149,503683,where is the person watching three giraffes,cage
150,312877,where does the man take a picture,mirror
151,335087,where does the doll take a shower,bathroom
152,56550,where is the man preparing a meal shirtless,kitchen
153,109777,where did the row of different motorcycles line up,garage
154,48993,"where is the cat with water droplets falling , with tile on wall",bathtub
155,21206,where are the group of cows walking,street
156,570538,where is the girl wearing sunglasses playing baseball,backyard
157,262670,where are the couple of cows laying,street
158,555668,where is four giraffe standing,pen
159,47249,where is the man in a tie sitting,room
160,455769,where did the green toilet seat adorn,bathroom
161,269004,where are two men in costumes eating donuts,store
162,342618,where is woman taking picture of herself,mirror
163,119579,where are the couple of red flowers,jar
164,333048,where is the giraffe lying down,pin
165,393412,where did an orange minivan bark,driveway
166,11328,where are two women using nintendo wii controllers,room
167,133791,where is a toilet brush and holder,bathroom
168,206279,where is the man wearing a leather mask and wrist cuffs sits,chair
169,275980,where is a small tv and a small table,room
170,129563,where is man preparing food items to be cooked,kitchen
171,269366,where are the group of artistic surfboards displayed,tent
172,124202,"where is the dog sitting ,",chair
173,350727,where is the grey cat sitting,bowl
174,178178,where does an orange cat sit,chair
175,192720,where is the man sitting as a train moves by,station
176,203388,where are seven doughnuts sitting side by sied,pan
177,581637,where are two people sitting on chairs,room
178,334098,where is the man working,kitchen
179,471915,"where do two boys , one very young , and one a little older , ride skateboards",street
180,162892,where did two beds push together sitting,bedroom
181,380084,where are two men playing wii,room
182,54758,where are three mirrors and a sink,bathroom
183,202168,where is the woman looking quizzically the large bag of broccoli she is holding,store
184,309521,where did the bed with a new bed set,bedroom
185,502204,where is angry looking black and white cat,sink
186,282889,where is the man standing in a kitchen prep area,apron
187,401313,where are two people relaxing,room
188,513618,where does the man take a photo of himself,mirror
189,333241,where does the white cat lay,bed
190,151054,where is a blue toilet and a white sink,bathroom
191,498649,where did the bunch of doughnuts sprinkle with sugar sitting,basket
192,391956,where is the person crossing the street,vest
193,501377,where is the black cat sitting,bag
194,88621,where did two brown owls nestle,container
195,458631,where is the grey and white cat 's reflection,mirror
196,309087,where did drinks with asian labels store,refrigerator
197,333098,where does the yellow lab dog sit panting,car
198,544449,where is the orange as are a bunch of green apples,box
199,564646,where is the bathroom reflected,mirror
200,375185,"where does the fluffy , stripped tabby cat stretches cover",bed
201,246494,where is the young woman shaking up something,kitchen
202,262239,where are the couple of people cooking,room
203,28766,where do glass sculptures sit,window
204,56364,"where are green apples , lemons and oranges",sink
205,475985,where did a make bed,room
206,214174,where is the man looking wide-eyed at himself,mirror
207,398623,where are two adult women using video game controllers while standing,room
208,51949,where are two toilets,bathroom
209,10466,where are the bed and couch placed,room
210,95948,where is the train stopped,station
211,252420,where does the cat sit,suitcase
212,487038,where are the two ovens stacked up,kitchen
213,333653,where are two sinks and a tub/shower combination,bathroom
214,564611,where did the bed cover in clutter between two tables with lamps on them,bedroom
215,264697,where did segments of an oranges and herbs arrange,plate
216,420276,where are cars driving,street
217,227127,where did 2 people reflect,mirror
218,482122,"where is the person eating , giving the thumbs up",restaurant
219,84758,where is the child laying,bed
220,245857,where is the kitchen clean and light comes,window
221,324635,where is the bamboo plate displaying various food items,restaurant
222,175391,where is the child smiling,suitcase
223,395216,where are several people while others watching,road
224,22857,where is the chef preparing meals,kitchen
225,287585,"where are plums , cherries , blueberries , tomato , cucumber , fish , lettuce , and carrots",dish
226,158107,where is the man in a white sweater sitting,chair
227,74572,where is the little girl tossing a red frisbee,driveway
228,219250,where is the man wearing a suit and sunglasses sits,car
229,16664,"where did the brown striped cat with white , close up , curl up",container
230,57995,where does the smiling woman playing wii,room
231,439995,where did the microwave oven mount inside of a wall,kitchen
232,76877,where did the plate with a sandwich cut,container
233,298913,where did zebra 's head display,photograph
234,17890,where is two sheep standing,doorway
235,72995,where are the three suitcases sitting,floor
236,389183,where is red truck sitting,street
237,264363,where did the laptop and a desk lamp leave on,room
238,118976,where is the toilet seat,restroom
239,59515,where are tools lying around,bathroom
240,143820,where is the bed pictured,bedroom
241,121420,where is the person with a striped shirt sitting,room
242,140690,where is an view looking down at a tennis match being played,stadium
243,356868,where does the woman take a picture of herself,mirror
244,246923,where are the motor bike and pieces of clothing displayed,window
245,301783,where is the curtain hanging,bathroom
246,285821,where does the man with an apron prepare a mixture,bowl
247,470539,where do the red teddy bear sitting all around,chair
248,331759,where do several chefs work,kitchen
249,534521,where is the toilet without a tank,bathroom
250,458705,where is the woolly horse standing,cage
251,567439,where is the kid under a blanket and a book laying on them,bed
252,228382,where is the pizza cooking,oven
253,579057,where are various fruits presented,bowl
254,353899,where is the skateboarder getting ready to skate,pool
255,423776,where is the woman riding her bike,street
256,389463,where is the cat sitting,chair
257,261271,where is the girl sitting with a microwave,chair
258,201417,where is the skate boarder doing tricks,backyard
259,147585,where is the train parked,station
260,340321,where is the woman looking,mirror
261,246573,where did double decker bus stop,street
262,572352,where does the room need to be picked up,house
263,315944,where is one puppy sitting while another dives in with two paws,bowl
264,306569,where does the slice of pizza sit,container
265,429399,where are the clock hanging where several trains parked on tracks,station
266,523211,where did cooked food item with cheese and onions serve,basket
267,36022,where is the person laying,bed
268,215480,where are the herd of sheep encaged,pen
269,175798,where are two men and two women having drinks,bar
270,152724,where is an orange cat sticking its head,bowl
271,253424,where are two toilets,room
272,516895,where is the man holding up a banana,office
273,85272,where are the couch and rocking chair,room
274,10655,where is the fireplace sitting,bedroom
275,533998,where is the white truck pulling a black car,street
276,4490,where do the man gear moving down a slope in skis,ski
277,444583,where is the man with a megaphone walking,street
278,439400,where is a silver plane,museum
279,62778,where are many people,airport
280,129305,where is the pizza cut up,box
281,312299,where did the person running water over their have,sink
282,54743,where does two wooden chair one with a man petting a cat,window
283,326628,where did man strip baseball uniform holding a bat,pin
284,304236,where did the custom paint pickup truck,street
285,54918,where is the black cat sitting,sink
286,242597,where does the group of red flowers with long green stem,vase
287,472181,where does the polar bear look beyond the fence that encapsulates it,zoo
288,208379,where do the man and a young boy play a video game,room
289,15794,where are the people making donuts,store
290,46013,where is an old man wearing a bright blue tie stands,kitchen
291,474363,where is the empty train stopped,station
292,36745,where is the cat sleeping,bag
293,315168,where did the woman judges hand paint umbrellas,room
294,236486,where did the group of firemen put down cones,street
295,500977,where is the golden-maned horse looking over the gate,pen
296,559565,where is the pink flower,vase
297,138910,where is the collection of furniture,room
298,554534,where are two teddy bears sitting,chair
299,4244,where are some chefs working,kitchen
300,71507,where did the cellular phone place,station
301,221156,where is the man posing with his jacket open,bedroom
302,14759,where are chocolate covered donuts displayed,bowl
303,170885,where are the toilet and sink seen,bathroom
304,151864,where is the student sitting,chair
305,43340,where is the white toilet sitting,bathroom
306,69729,where did the group of orange stuff animals hanging up,store
307,11159,where does four skateboarders doing tricks,street
308,419273,where is the large cat laying,basket
309,553378,where is the cat laying,purse
310,458921,where does the bunch of bananas sit,bowl
311,473866,"where is the salad made of carrots , green beans , and zucchini",container
312,64751,where did the train stop,station
313,241851,where is the man setting up his bird cage,room
314,408957,where does the boy sit,office
315,164381,where are the group of people sitting,room
316,58041,where are the dozen krispy kreme donuts,box
317,164348,where does the television play,room
318,393195,where is the lady wearing a hat is sitting,boat
319,16125,where are the croup of chefs cooking,kitchen
320,409653,where are people enjoying the aircraft displayed,hangar
321,345944,where are boats parked,marina
322,147616,where is the train car with graphittie on it stopped,station
323,444399,where is the room uniquely decorated,house
324,282351,where are the pots and pans hanging,kitchen
325,58351,where is the man taking the cushion off of an ottoman,room
326,171297,where does the woman use a laptop computer,bed
327,383157,where is the brocolli florets cooking,pot
328,480161,where did the person reflect,mirror
329,435583,where does the black and white cat sit,container
330,201260,where is person riding their bike pass the tour bus,lane
331,154037,where is the woman using a blender,kitchen
332,226363,where do colorful suitcases sit,room
333,258544,where did the boy catch the baseball,glove
334,98298,where is the woman checking her cell phone,restroom
335,350206,where is the person sitting,bathroom
336,391084,where is a new silver oven appliance,kitchen
337,365205,where is the cat looking,mirror
338,16664,where did the cat curl up sleeping,container
339,153123,where did the man stand next to the shirts,vest
340,456563,where do breaded meat and greens stir fry,pan
341,446199,"where did two trains stop side ,",station
342,330164,where is the gentleman giving a beagle puppy a bath,sink
343,478652,where is the woman holding up sandwich,car
344,34415,where is the black and white cat laying,bed
345,526225,where does the cat sleep,bed
346,39065,where is man holding showing off cell phone,room
347,294104,where does the pair of zebra 's being playful,pen
348,502730,where do a take out lunch,box
349,375820,where does two computer monitor displaying web pages,room
350,250533,where is an on microwave unit heating something,cup
351,350706,where is the large chocolate cake sitting,pan
352,373291,where are several boats,marina
353,93298,where is the woman looking,store
354,299122,where are two children smiling over a pan of pizza,restaurant
355,176947,where is the woman giving the two children a bath,tub
356,11701,where does an older woman prepare food,kitchen
357,558555,where are the bunch of doughnuts,box
358,34164,where is the window above the long bathtub,bathroom
359,168454,where is the single banana resting,bowl
360,121226,where are the man and woman preparing food,kitchen
361,400966,where do the mini-refrigerator and a microwave sit,bedroom
362,469389,where is the bathroom shown,room
363,1790,where is the naked young boy brushing his teeth,mirror
364,425758,where are cooks preparing food,kitchen
365,497500,where is an uncooked pizza with sausage on top,pan
366,548118,where does the woman in a dress smile,kitchen
367,163192,where did the large golden plate trim,vase
368,233543,where is the woman displaying her new smart phone,box
369,30163,where are people standing at a fence watching a border collie wrangle sheep,pen
370,29377,where are many dishes and magnets on the refrigerator,sink
371,191156,"where are two cats crouched ,",refrigerator
372,188987,where do the couple sit,chair
373,138342,where are the three red flowers still alive,vase
374,147122,where is an opening through which food can be passed to the living room,wall
375,419296,where are the couple of men talking,street
376,179037,where is the loaded pizza pie sitting,box
377,184157,where is the young boy playing video games,room
378,150211,where is the small dog sitting,hallway
379,65191,where is the little boy sitting,terminal
380,400134,where is the dog looking,door
381,578020,where is the cat taking a nap,drawer
382,134650,where did the fish eye look,house
383,235168,where did the whole bunch of urinals line up,restroom
384,500818,where did cattle gather,fence
385,223369,where is the baby eating a piece of food,kitchen
386,29085,where is the baby elephant taking a bath,pool
387,418927,where does the boy hold a spatula by an over,apron
388,160930,where is the baby zebra standing,pen
389,137931,where is the dog pulled by a person,suitcase
390,534716,where are lots of bananas seen hanging in the background and gathered,basket
391,430493,"where is woman talking , while wrapped up from the cold",bed
392,98220,where is the bunch of food cooking,pan
393,163091,where are several planes admired,museum
394,556763,where are some purple irises,vase
395,248227,where is the toilet seat seen,stall
396,310928,where is the white cat standing,plant
397,229990,where do the youngsters bunk bed and dresser,bedroom
398,157860,"where do bananas , and citrus fruit sit",basket
399,315647,where is the white toilet sitting,shower
400,373128,where is the red motorbike parked,street
401,34557,where does the girl hold a glazed donut,chair
402,267498,where is the small red bird,window
403,430597,where does the large bed sit,room
404,86790,where are young children using remote gaming controls,room
405,401705,where did an orange tabby cat curl up,bowl
406,71339,"where are the group of people sitting , and some are playing volleyball",backyard
